,council_name,number,person_name
14461,平成11年 第3回定例会（第2日6月25日）,36,鳥本高男
14462,平成11年 第3回定例会（第3日6月28日）,1,三本登
14463,平成11年 第3回定例会（第3日6月28日）,2,角芳春
14464,平成11年 第3回定例会（第3日6月28日）,3,小西弘泰
14465,平成11年 第3回定例会（第3日6月28日）,4,吉田康人
14466,平成11年 第3回定例会（第3日6月28日）,5,林啓二
14467,平成11年 第3回定例会（第3日6月28日）,6,中浜実
14468,平成11年 第3回定例会（第3日6月28日）,7,久保隆
14469,平成11年 第3回定例会（第3日6月28日）,8,安好一弘
14470,平成11年 第3回定例会（第3日6月28日）,9,中村玲子
14471,平成11年 第3回定例会（第3日6月28日）,10,橋本恵美子
14472,平成11年 第3回定例会（第3日6月28日）,11,市田忠夫
14473,平成11年 第3回定例会（第3日6月28日）,12,岩為俊
14474,平成11年 第3回定例会（第3日6月28日）,13,藤田頼夫
14475,平成11年 第3回定例会（第3日6月28日）,14,稲垣芳広
14476,平成11年 第3回定例会（第3日6月28日）,15,筒井俊雄
14477,平成11年 第3回定例会（第3日6月28日）,16,岡本茂
14478,平成11年 第3回定例会（第3日6月28日）,17,堀田和喜
14479,平成11年 第3回定例会（第3日6月28日）,18,松雪芳信
14480,平成11年 第3回定例会（第3日6月28日）,19,森清
14481,平成11年 第3回定例会（第3日6月28日）,20,二木洋子
14482,平成11年 第3回定例会（第3日6月28日）,21,池下節夫
14483,平成11年 第3回定例会（第3日6月28日）,22,須磨章
14484,平成11年 第3回定例会（第3日6月28日）,23,小野貞雄
14485,平成11年 第3回定例会（第3日6月28日）,24,川口雅夫
14486,平成11年 第3回定例会（第3日6月28日）,25,源久忠仁
14487,平成11年 第3回定例会（第3日6月28日）,26,福井浩二
14488,平成11年 第3回定例会（第3日6月28日）,27,石橋守
14489,平成11年 第3回定例会（第3日6月28日）,28,根来勝利
14490,平成11年 第3回定例会（第3日6月28日）,29,大川肇
14491,平成11年 第3回定例会（第3日6月28日）,30,岡本嗣郎
14492,平成11年 第3回定例会（第3日6月28日）,31,高須賀嘉章
14493,平成11年 第3回定例会（第3日6月28日）,32,新家末吉
14494,平成11年 第3回定例会（第3日6月28日）,33,久保隆夫
14495,平成11年 第3回定例会（第3日6月28日）,34,段野啓三
14496,平成11年 第3回定例会（第3日6月28日）,35,村田君江
14497,平成11年 第3回定例会（第3日6月28日）,36,鳥本高男
14498,平成11年 第3回定例会（第4日7月12日）,1,三本登
14499,平成11年 第3回定例会（第4日7月12日）,2,角芳春
14500,平成11年 第3回定例会（第4日7月12日）,3,小西弘泰
14501,平成11年 第3回定例会（第4日7月12日）,4,吉田康人
14502,平成11年 第3回定例会（第4日7月12日）,5,林啓二
14503,平成11年 第3回定例会（第4日7月12日）,6,中浜実
14504,平成11年 第3回定例会（第4日7月12日）,7,久保隆
14505,平成11年 第3回定例会（第4日7月12日）,8,安好一弘
14506,平成11年 第3回定例会（第4日7月12日）,9,中村玲子
